date,strategy,spy
2019-06-24,109145.6301822474,111224.18136792125
2019-06-25,107786.57255359346,110133.30190277871
2019-06-26,107616.0036648246,110023.44394172868
2019-06-27,108287.4974016543,110413.5846398573
2019-06-28,109002.98800397101,110981.76087128358
2019-07-01,110463.46003434322,111989.33063772912
2019-07-02,110896.91800116558,112280.91458316866
2019-07-03,112015.09624082941,113178.63915829112
2019-07-05,111863.77118153013,113049.85646188408
2019-07-08,111368.4481983146,112428.6475543866
2019-07-09,111665.26578535557,112568.82084724329
2019-07-10,112472.26716797841,113106.66897713592
2019-07-11,112612.61794682391,113371.81958776512
2019-07-12,113331.83474143289,113879.41623448589
2019-07-15,113598.04270985383,113917.2529354729
2019-07-16,113019.75434001282,113549.86789078971
2019-07-17,112375.13460086452,112777.1334031667
2019-07-18,112908.5673853822,113189.9914455599
2019-07-19,111864.49133884633,112561.24839915511
2019-07-22,112000.0522100979,112837.73852732613
2019-07-23,112680.53322526987,113644.5426464825
2019-07-24,112870.36440269115,114178.5853977406
2019-07-25,112447.24071252179,113633.19035921368
2019-07-26,113014.76401313307,114394.53425038702
2019-07-29,113203.68261462665,114186.20892473664
2019-07-30,113101.75178380792,113905.88787847715
2019-07-31,111261.49024298295,112659.69022430154
2019-08-01,110768.66427983805,111678.71979911688
2019-08-02,110082.04869099383,110837.84604842715
2019-08-05,105657.74695508598,107504.56421965921
2019-08-06,107550.77011672487,109012.10710582949
2019-08-07,108578.6973768417,109076.50483889648
2019-08-08,111338.38785762466,111216.60891983304
2019-08-09,110532.07238220704,110459.04486784035
2019-08-12,109234.12156192257,109114.35430961045
2019-08-13,110945.97117627309,110811.29778607412
2019-08-14,107583.23799253767,107534.85401201197
2019-08-15,108531.60232235756,107818.94212772511
2019-08-16,110367.23127094723,109409.7947125924
2019-08-19,111899.36147227736,110727.96254792319
2019-08-20,110808.27111305192,109879.49080969134
2019-08-21,111823.79271822135,110773.39723645232
2019-08-22,111754.6817003141,110739.30206546503
2019-08-23,108575.82068383318,107894.71768751481
2019-08-26,110089.95246663128,109087.86989589225
2019-08-27,109837.37859299421,108659.81587841483
2019-08-28,110451.82347962506,109424.97791794965
2019-08-29,111915.51993556775,110822.67561279684
2019-08-30,111900.00070055046,110773.39723645232
2019-09-03,112011.28466570031,110125.69114550963
2019-09-04,113612.46672444322,111375.65586913891
2019-09-05,114464.16095758935,112807.46150470033
2019-09-06,114469.90785096568,112894.58935175887
2019-09-09,113950.73610222842,112951.38909728373
2019-09-10,113178.64277619886,112924.8791441116
2019-09-11,113900.83596485348,113727.8906543604
2019-09-12,114545.82467529547,114121.81119166964
2019-09-13,113612.49698538313,114046.03563187993
2019-09-16,113366.85579616703,113693.75717419223
2019-09-17,113556.5539159965,113981.63789881294
2019-09-18,113584.61540364087,114049.85378024142
2019-09-19,113428.9458230835,114042.24302297234
2019-09-20,112531.31071947388,113503.42439383063
2019-09-23,112629.6615972088,113476.78674338888
2019-09-24,111986.8066287608,112586.39199154235
2019-09-25,112846.40711655321,113252.28217367825
2019-09-26,112956.8376287618,113016.34869833704
2019-09-27,112143.07452939369,112407.52642599221
2019-09-30,112626.00313410388,112928.7994502888
2019-10-01,111461.64699343046,111585.57741065949
2019-10-02,109501.19094034129,109614.42958715088
2019-10-03,110438.51083613995,110512.51171462829
2019-10-04,112149.7411192205,112007.96166936598
2019-10-07,111620.94044949884,111524.66581305298
2019-10-08,110495.85665331711,109793.30792242798
2019-10-09,111330.02578831195,110835.905049929
2019-10-10,111653.59171584585,111585.57741065949
2019-10-11,112039.34245294041,112742.32312746959
2019-10-14,111840.36089782306,112616.80948116473
2019-10-15,112150.98411749846,113731.74711190278
2019-10-16,111913.06882486201,113549.08893744506
2019-10-17,112081.9225008846,113883.9622572842
2019-10-18,111976.48936250087,113385.470425887
2019-10-21,112443.63665350816,114154.10583115535
2019-10-22,112286.17264706001,113781.2298038787
2019-10-23,112795.10143115344,114112.25943590242
2019-10-24,112533.74763809067,114298.73575872162
2019-10-25,112265.53638714006,114766.78456104254
2019-10-28,112069.87109760889,115413.6733894597
2019-10-29,112072.9976487129,115379.42498174887
2019-10-30,112602.26962772913,115733.3507342146
2019-10-31,112323.76729415725,115425.0512161824
2019-11-01,113092.86759866752,116494.3753822139
2019-11-04,113295.79102209122,116962.39864508089
2019-11-05,113200.94170915293,116833.02854123362
2019-11-06,113364.53241004205,116859.69173112931
2019-11-07,113471.545335797,117270.64708420525
2019-11-08,113519.84234444797,117559.85586042995
2019-11-11,113484.20728793551,117335.31298153843
2019-11-12,113568.69199151226,117582.66259278325
2019-11-13,113413.23136114974,117620.74191858251
2019-11-14,113488.28872788271,117791.97118740967
2019-11-15,113822.7810130637,118644.35046209172
2019-11-18,113845.66974323402,118731.86140095908
2019-11-19,113903.61744584229,118697.63853270219
2019-11-20,113556.37325779008,118256.21461109606
2019-11-21,113437.2360507666,118065.92013991535
2019-11-22,113646.56470761193,118328.4912656983
2019-11-25,114358.80969235889,119245.53643771354
2019-11-26,114389.30794968162,119515.76939967343
2019-11-27,114690.38514675734,120048.47132960056
2019-11-29,114422.05300645345,119603.25479908686
2019-12-02,113609.58998639676,118587.29532202761
2019-12-03,112923.60838551502,117791.97118740967
2019-12-04,113495.62533930237,118518.77296715205
2019-12-05,113655.9359938037,118731.86140095908
2019-12-06,114510.65945990224,119816.36877234782
2019-12-09,114021.21011122884,119439.63628752879
2019-12-10,113940.05905381442,119306.44803532005
2019-12-11,114249.5478490253,119645.13950352067
2019-12-12,115453.39133221107,120676.33326484503
2019-12-13,115278.47259749923,120748.64822862817
2019-12-16,116050.81614150801,121578.22077095695
2019-12-17,116051.22749437267,121604.84565167173
